id,image_slot,author,poem_title,category,mood,stanza,source,license
S015,image_015,Samuel Taylor Coleridge,,Beauty & Nature,Romantic,"Then is she tenfold gladder than before!
But should disease or chance the darling take,
What then avail those songs, which sweet of yore
Were only sweet for their sweet echo's sake?                        75
Dear maid! no prattler at a mother's knee
Was e'er so dearly prized as I prize thee:
Why was I made for Love and Love denied to me?",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S016,image_016,Samuel Taylor Coleridge,"To know, to esteem, to love,--and then to part--",Love & Devotion,Romantic,"Oft to my eager soul I whisper blame,                               30
A Stranger bid it feel the Stranger's shame--
My eager soul, impatient of the name,
No strangeness owns, no Stranger's form descries:
The chidden heart spreads trembling on the eyes.
First-seen I gazed, as I would look you thro'!                      35
My best-beloved regain'd their youth in you,--
And still I ask, though now familiar grown,
Are you for _their_ sakes dear, or for your own?
O doubly dear! may Quiet with you dwell!",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S017,image_017,Percy Bysshe Shelley,,Love & Separation,Romantic,"But my heart has a music which Echo’s lips,
Though tender and true, yet can answer not,
And the shadow that moves in the soul’s eclipse                      _10
Can return not the kiss by his now forgot;
Sweet lips! he who hath
On my desolate path
Cast the darkness of absence, worse than death!",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
S018,image_018,Percy Bysshe Shelley,,Dream & Night,Romantic,"NOTES:
_1 Good-night? no, love! the night is ill Stacey manuscript.
_5 How were the night without thee good Stacey manuscript.
_9 The hearts that on each other beat Stacey manuscript.
_11 Have nights as good as they are sweet Stacey manuscript.
_12 But never SAY good night Stacey manuscript.",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
S019,image_019,Percy Bysshe Shelley,,Love & Separation,Romantic,"2.
I can give not what men call love,
But wilt thou accept not                                             _10
The worship the heart lifts above
And the Heavens reject not,—
The desire of the moth for the star,
Of the night for the morrow,
The devotion to something afar                                       _15
From the sphere of our sorrow?",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
S020,image_020,Christina Rossetti,"""O Lord, how canst Thou say Thou lovest me?",Love & Devotion,Romantic,"""Nay, if thy love is not an empty breath
My love is as thine own--deep answers deep.
Peace, peace: I give to my beloved sleep,
Not death but sleep, for love is strong as death:
Take patience; sweet thy sleep shall be,
Yea, thou shalt wake in Paradise with Me.""",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S021,image_021,Christina Rossetti,"I love and love not: Lord, it breaks my heart",Love & Devotion,Romantic,"To love and not to love.
Thou veiled within Thy glory, gone apart
Into Thy shrine, which is above,
Dost Thou not love me, Lord, or care
For this mine ill?--
_I love thee here or there,_
_I will accept thy broken heart, lie still._",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S022,image_022,Christina Rossetti,"I love and love not: Lord, it breaks my heart",Love & Devotion,Romantic,"To love and not to love.
Thou veiled within Thy glory, gone apart
Into Thy shrine, which is above,
Dost Thou not love me, Lord, or care
For this mine ill?--
_I love thee here or there,
I will accept thy broken heart, lie still._",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
S023,image_023,Percy Bysshe Shelley,FRAGMENT: SUPPOSED TO BE AN EPITHALAMIUM OF FRANCIS RAVAILLAC,Love & Separation,Romantic,"FRANCIS:
‘Soft, my dearest angel, stay,
Oh! you suck my soul away;
Suck on, suck on, I glow, I glow!
Tides of maddening passion roll,                                     _85
And streams of rapture drown my soul.
Now give me one more billing kiss,
Let your lips now repeat the bliss,
Endless kisses steal my breath,
No life can equal such a death.’                                     _90",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
S024,image_024,Robert Browning,AN EPISTLE,Love & Devotion,Romantic,"The very God! think, Abib; dost thou think?
So, the All-Great, were the All-Loving too--
So, through the thunder comes a human voice
Saying, ""O heart I made, a heart beats here!
Face, my hands fashioned, see it in myself!
Thou hast no power nor mayst conceive of mine,
But love I gave thee, with myself to love,                                  310
And thou must love me who have died for thee!""
The madman saith He said so; it is strange.",https://www.gutenberg.org/ebooks/16376,Public domain / CC0 dataset
S025,image_025,Samuel Taylor Coleridge,,Love & Devotion,Romantic,"O part them never! If Hope prostrate lie,
Love too will sink and die.
But Love is subtle, and doth proof derive                           15
From her own life that Hope is yet alive;
And bending o'er, with soul-transfusing eyes,
And the soft murmurs of the mother dove,
Woos back the fleeting spirit, and half supplies;--
Thus Love repays to Hope what Hope first gave to Love.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S026,image_026,Samuel Taylor Coleridge,Ἔρως ἀεὶ λάληθρος ἑταῖρος[462:2],Love & Separation,Romantic,"In many ways does the full heart reveal
The presence of the love it would conceal;
But in far more th' estrangéd heart lets know
The absence of the love, which yet it fain would shew.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S027,image_027,Sara Teasdale,"Child, child, love while you can",Love & Devotion,Romantic,"The voice and the eyes and the soul of a man;
Never fear though it break your heart--
Out of the wound new joy will start;
Only love proudly and gladly and well,
Though love be heaven or love be hell.",https://www.gutenberg.org/ebooks/442,Public domain / CC0 dataset
S028,image_028,Walt Whitman,As at Thy Portals Also Death,Love & Devotion,Romantic,"As at thy portals also death,
Entering thy sovereign, dim, illimitable grounds,
To memories of my mother, to the divine blending, maternity,
To her, buried and gone, yet buried not, gone not from me,
(I see again the calm benignant face fresh and beautiful still,
I sit by the form in the coffin,
I kiss and kiss convulsively again the sweet old lips, the cheeks,
the closed eyes in the coffin;)
To her, the ideal woman, practical, spiritual, of all of earth,
life, love, to me the best,
I grave a monumental line, before I go, amid these songs,
And set a tombstone here.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
S029,image_029,Walt Whitman,Out of the Cradle Endlessly Rocking,Love & Devotion,Romantic,"O past! O happy life! O songs of joy!
In the air, in the woods, over fields,
Loved! loved! loved! loved! loved!
But my mate no more, no more with me!
We two together no more.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
S030,image_030,Walt Whitman,Sometimes with One I Love,Love & Separation,Romantic,"Sometimes with one I love I fill myself with rage for fear I effuse
unreturn’d love,
But now I think there is no unreturn’d love, the pay is certain one
way or another,
(I loved a certain person ardently and my love was not return’d,
Yet out of that I have written these songs.)",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
S031,image_031,Walt Whitman,The Mystic Trumpeter,Love & Devotion,Romantic,"5
Blow again trumpeter! and for thy theme,
Take now the enclosing theme of all, the solvent and the setting,
Love, that is pulse of all, the sustenance and the pang,
The heart of man and woman all for love,
No other theme but love--knitting, enclosing, all-diffusing love.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
S032,image_032,Edgar Allan Poe,It was many and many a year ago,Beauty & Nature,Romantic,"But our love it was stronger by far than the love
Of those who were older than we—
Of many far wiser than we—
And neither the angels in heaven above,
Nor the demons down under the sea,
Can ever dissever my soul from the soul
Of the beautiful ANNABEL LEE.",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
S033,image_033,H. W. Longfellow,THE SEA HATH ITS PEARLS,Dream & Night,Romantic,"The sea hath its pearls,
The heaven hath its stars;
But my heart, my heart,
My heart hath its love.",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S034,image_034,Percy Bysshe Shelley,FRAGMENT: SUPPOSED TO BE AN EPITHALAMIUM OF FRANCIS RAVAILLAC,Love & Devotion,Romantic,"Spirits! when raptures move,
Say what it is to love,
When passion’s tear stands on the cheek,                             _105
When bursts the unconscious sigh;
And the tremulous lips dare not speak
What is told by the soul-felt eye.
But what is sweeter to revenge’s ear
Than the fell tyrant’s last expiring yell?                           _110
Yes! than love’s sweetest blisses ’tis more dear
To drink the floatings of a despot’s knell.
I wake—’tis done—’tis over.",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
S035,image_035,Samuel Taylor Coleridge,SCENE I,Dream & Night,Romantic,"_Raab Kiuprili._ My heart is rent asunder. O my country,
O fallen Illyria, stand I here spell-bound?
Did my King love me? Did I earn his love?                           85
Have we embraced as brothers would embrace?
Was I his arm, his thunder-bolt? And now
Must I, hag-ridden, pant as in a dream?
Or, like an eagle, whose strong wings press up
Against a coiling serpent's folds, can I                            90
Strike but for mockery, and with restless beak
Gore my own breast?--Ragozzi, thou art faithful?",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S036,image_036,Walt Whitman,Out of the Rolling Ocean the Crowd,Love & Separation,Romantic,"Now we have met, we have look’d, we are safe,
Return in peace to the ocean my love,
I too am part of that ocean my love, we are not so much separated,
Behold the great rondure, the cohesion of all, how perfect!
But as for me, for you, the irresistible sea is to separate us,
As for an hour carrying us diverse, yet cannot carry us diverse forever;
Be not impatient--a little space--know you I salute the air, the
ocean and the land,
Every day at sundown for your dear sake my love.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
S037,image_037,Alfred Tennyson,,Beauty & Nature,Romantic,"7.
Not die; but live a life of truest breath,
And teach true life to fight with mortal wrongs.
O, why should Love, like men in drinking-songs,
Spice his fair banquet with the dust of death?
Make answer, Maud my bliss,
Maud made my Maud by that long lover's kiss,
Life of my life, wilt thou not answer this?
'The dusky strand of Death inwoven here
With dear Love's tie, makes Love himself more dear.'",https://www.gutenberg.org/ebooks/56913,Public domain / CC0 dataset
S038,image_038,Christina Rossetti,I loved my love from green of Spring,Love & Devotion,Romantic,"I loved my love,--alas to see
That this should be, alas!
I thought that this could scarcely be,
Yet has it come to pass:
Sweet sweet love was,
Now bitter bitter grown to me.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S039,image_039,Christina Rossetti,I loved my love from green of Spring,Love & Devotion,Romantic,"I loved my love--alas to see
That this should be, alas!
I thought that this could scarcely be,
Yet has it come to pass:
Sweet sweet love was,
Now bitter bitter grown to me.",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
S040,image_040,Christina Rossetti,Through the vales to my love!,Dream & Night,Romantic,"Through the vales to my love!
In sweet April hours
All rainbows and showers,
While dove answers dove,--
In beautiful May,
When the orchards are tender
And frothing with flowers,--
In opulent June,
When the wheat stands up slender
By sweet-smelling hay,
And half the sun's splendour
Descends to the moon.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S041,image_041,H. W. Longfellow,SCENE X. -- Street and garden wall.  Night.  Enter CRUZADO and,Dream & Night,Romantic,"Ah! thou moon that shinest
Argent-clear above!
All night long enlighten
My sweet lady-love!
Moon that shinest,
All night long enlighten!",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S042,image_042,Percy Bysshe Shelley,FRAGMENT: SUPPOSED TO BE AN EPITHALAMIUM OF FRANCIS RAVAILLAC,Love & Separation,Romantic,"Yes, Francis! thine was the dear knife that tore
A tyrant’s heart-strings from his guilty breast,
Thine was the daring at a tyrant’s gore,
To smile in triumph, to contemn the rest;
And thine, loved glory of thy sex! to tear                           _55
From its base shrine a despot’s haughty soul,
To laugh at sorrow in secure despair,
To mock, with smiles, life’s lingering control,
And triumph mid the griefs that round thy fate did roll.",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
S043,image_043,Samuel Taylor Coleridge,,Love & Separation,Romantic,"_Alvar._                      O joy unutterable!
But hark! a sound as of removing bars
At the dungeon's outer door. A brief, brief while
Conceal thyself, my love! It is Ordonio.
For the honour of our race, for our dear father;
O for himself too (he is still my brother)
Let me recall him to his nobler nature,
That he may wake as from a dream of murder!
O let me reconcile him to himself,
Open the sacred source of penitent tears,
And be once more his own beloved Alvar.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S044,image_044,Samuel Taylor Coleridge,Friend of the wise! and Teacher of the Good!,Dream & Night,Romantic,"Eve following eve,
Dear tranquil time, when the sweet sense of Home
Is sweetest! moments for their own sake hailed
And more desired, more precious, for thy song,
In silence listening, like a devout child,                          95
My soul lay passive, by thy various strain
Driven as in surges now beneath the stars,
With momentary stars of my own birth,
Fair constellated foam,[408:1] still darting off
Into the darkness; now a tranquil sea,                             100
Outspread and bright, yet swelling to the moon.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S045,image_045,Samuel Taylor Coleridge,"No cloud, no relique of the sunken day",Dream & Night,Romantic,"My Friend, and thou, our Sister! we have learnt                     40
A different lore: we may not thus profane
Nature's sweet voices, always full of love
And joyance! 'Tis the merry Nightingale
That crowds, and hurries, and precipitates
With fast thick warble his delicious notes,                         45
As he were fearful that an April night
Would be too short for him to utter forth
His love-chant, and disburthen his full soul
Of all its music!",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S046,image_046,Samuel Taylor Coleridge,"O Peace, that on a lilied bank dost love",Dream & Night,Romantic,"My Sara came, with gentlest look divine;
Bright shone her eye, yet tender was its beam:
I felt the pressure of her lip to mine!
Whispering we went, and Love was all our theme--                    40
Love pure and spotless, as at first, I deem,
He sprang from Heaven! Such joys with Sleep did 'bide,
That I the living Image of my Dream
Fondly forgot. Too late I woke, and sigh'd--
'O! how shall I behold my Love at eventide!'                        45",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S047,image_047,Samuel Taylor Coleridge,SCENE I,Love & Separation,Romantic,"_Alvar._                      O joy unutterable!
But hark! a sound as of removing bars
At the dungeon's outer door. A brief, brief while                   90
Conceal thyself, my love! It is Ordonio.
For the honour of our race, for our dear father;
O for himself too (he is still my brother)
Let me recall him to his nobler nature,
That he may wake as from a dream of murder!                         95
O let me reconcile him to himself,
Open the sacred source of penitent tears,
And be once more his own beloved Alvar.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S048,image_048,Walt Whitman,Passage to India,Dream & Night,Romantic,"Greater than stars or suns,
Bounding O soul thou journeyest forth;
What love than thine and ours could wider amplify?
What aspirations, wishes, outvie thine and ours O soul?
What dreams of the ideal? what plans of purity, perfection, strength?
What cheerful willingness for others’ sake to give up all?
For others’ sake to suffer all?",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
S049,image_049,William Wordsworth,,Love & Separation,Romantic,"His father said, that to a distant town
He must repair, to ply the artist’s trade.
What tears of bitter grief till then unknown!
What tender vows our last sad kiss delayed!
To him we turned:--we had no other aid.
Like one revived, upon his neck I wept,
And her whom he had loved in joy, he said
He well could love in grief: his faith he kept;
And in a quiet home once more my father slept.",https://www.gutenberg.org/ebooks/9622,Public domain / CC0 dataset
S050,image_050,Christina Rossetti,I loved my love from green of Spring,Love & Devotion,Romantic,"I loved my love on sunny days
Until late Summer's wane;
But now that frost begins to glaze
How should one love again?
Nay, love and pain
Walk wide apart in diverse ways.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S051,image_051,Christina Rossetti,I loved my love from green of Spring,Love & Devotion,Romantic,"I loved my love on sunny days
Until late Summer's wane;
But now that frost begins to glaze
How should one love again?                                       10
Nay, love and pain
Walk wide apart in diverse ways.",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
S052,image_052,Christina Rossetti,I took my heart in my hand,Love & Devotion,Romantic,"(O my love, O my love),
I said: Let me fall or stand,
Let me live or die,
But this once hear me speak
(O my love, O my love);
Yet a woman's words are weak:
You should speak, not I.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S053,image_053,Christina Rossetti,I took my heart in my hand,Love & Devotion,Romantic,"(O my love, O my love),
I said: Let me fall or stand,
Let me live or die,
But this once hear me speak--
(O my love, O my love)--
Yet a woman's words are weak;
You should speak, not I.",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
S054,image_054,Christina Rossetti,My heart is like a singing bird,Beauty & Nature,Romantic,"Whose nest is in a watered shoot;
My heart is like an apple-tree
Whose boughs are bent with thick-set fruit;
My heart is like a rainbow shell
That paddles in a halcyon sea;
My heart is gladder than all these
Because my love is come to me.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S055,image_055,Christina Rossetti,My heart is like a singing bird,Beauty & Nature,Romantic,"Whose nest is in a watered shoot;
My heart is like an apple-tree
Whose boughs are bent with thickset fruit;
My heart is like a rainbow shell
That paddles in a halcyon sea;
My heart is gladder than all these
Because my love is come to me.",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
S056,image_056,Edgar Allan Poe,It was many and many a year ago,Beauty & Nature,Romantic,"_I_ was a child and _she_ was a child,
In this kingdom by the sea:
But we loved with a love that was more than love—
I and my ANNABEL LEE;
With a love that the wingèd seraphs of heaven
Coveted her and me.",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
S057,image_057,H. W. Longfellow,,Love & Devotion,Romantic,"Ah, Love!
Perjured, false, treacherous Love!
Enemy
Of all that mankind may not rue!
Most untrue
To him who keeps most faith with thee.
Woe is me!
The falcon has the eyes of the dove.
Ah, Love!
Perjured, false, treacherous Love!",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S058,image_058,H. W. Longfellow,,Love & Separation,Romantic,"ENDICOTT.
O lost, O loved! wilt thou return no more?
O loved and lost, and loved the more when lost!
How many men are dragged into their graves
By their rebellious children!  I now feel
The agony of a father's breaking heart
In David's cry, ""O Absalom, my son!""",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S059,image_059,H. W. Longfellow,III,Dream & Night,Romantic,"THE MUSICIANS.
I sleep, but my heart awaketh;
'T is the voice of my beloved
Who knocketh, saying: Open to me,
My sister, my love, my dove,
For my head is filled with dew,
My locks with the drops of the night!",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S060,image_060,H. W. Longfellow,III,Dream & Night,Romantic,"PRINCE HENRY.
Wake not, beloved! be thy sleep
Silent as night is, and as deep!
There walks a sentinel at thy gate
Whose heart is heavy and desolate,
And the heavings of whose bosom number
The respirations of thy slumber,
As if some strange, mysterious fate
Had linked two hearts in one, and mine
Went madly wheeling about thine,
Only with wider and wilder sweep!",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S061,image_061,H. W. Longfellow,"SCENE IV. -- PRECIOSA'S chamber.  She is sitting, with a book in",Love & Separation,Romantic,"Lara.         I swear to you,
I would not harm you; I would only love you.
I would not take your honor, but restore it,
And in return I ask but some slight mark
Of your affection.  If indeed you love me,
As you confess you do, O let me thus
With this embrace--",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S062,image_062,H. W. Longfellow,THE OLD CLOCK ON THE STAIRS,Tender Reflection,Romantic,"Never here, forever there,
Where all parting, pain, and care,
And death, and time shall disappear,--
Forever there, but never here!
The horologe of Eternity
Sayeth this incessantly,--
""Forever--never!
Never--forever!""",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S063,image_063,John Keats,,Longing & Separation,Romantic,"Ah, happy, happy boughs! that cannot shed
Your leaves, nor ever bid the Spring adieu;
And, happy melodist, unwearied,
For ever piping songs for ever new;
More happy love! more happy, happy love!
For ever warm and still to be enjoy'd,
For ever panting, and for ever young;
All breathing human passion far above,
That leaves a heart high-sorrowful and cloy'd,
A burning forehead, and a parching tongue.               30",https://www.gutenberg.org/ebooks/23684,Public domain / CC0 dataset
S064,image_064,Samuel Taylor Coleridge,,Love & Devotion,Romantic,"Yes! he hath flitted from me--with what aim,
Or why, I know not! 'Twas a home of bliss,                          10
And he was innocent, as the pretty shame
Of babe, that tempts and shuns the menaced kiss,
From its twy-cluster'd hiding place of snow!
Pure as the babe, I ween, and all aglow
As the dear hopes, that swell the mother's breast--                 15
Her eyes down gazing o'er her claspéd charge;--
Yet gay as that twice happy father's kiss,
That well might glance aside, yet never miss,
Where the sweet mark emboss'd so sweet a targe--
Twice wretched he who hath been doubly blest!                       20",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S065,image_065,Samuel Taylor Coleridge,47,Beauty & Nature,Romantic,"Didst thou think less of thy dear self
Far more would others think of thee!
Sweet Anne! the knowledge of thy wealth
Reduces thee to poverty.
Boon Nature gave wit, beauty, health,
On thee as on her darling pitching;
Couldst thou forget thou'rt thus enrich'd
That moment would'st thou become rich in!
And wert thou not so self-bewitch'd,
Sweet Anne! thou wert, indeed, bewitching.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S066,image_066,Samuel Taylor Coleridge,Nor travels my meandering eye,Love & Separation,Romantic,"O mark those smiling tears, that swell
The open'd rose! From heaven they fell,
And with the sun-beam blend.
Blest visitations from above,                                       70
Such are the tender woes of Love
Fostering the heart they bend!",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S067,image_067,Samuel Taylor Coleridge,SCENE III,Love & Separation,Romantic,"_Wallenstein._ I know you love them not--nor sire nor son--
Because that I esteem them, love them--visibly
Esteem them, love them more than you and others,
E'en as they merit. Therefore are they eye-blights,                 35
Thorns in your foot-path. But your jealousies,
In what affect they me or my concerns?
Are they the worse to me because you hate them?
Love or hate one another as you will,
I leave to each man his own moods and likings;                      40
Yet know the worth of each of you to me.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S068,image_068,Samuel Taylor Coleridge,SCENE IX,Love & Separation,Romantic,"What other angel seek I? To this heart,
To this unerring heart, will I submit it,
Will ask thy love, which has the power to bless                     35
The happy man alone, averted ever
From the disquieted and guilty--canst thou
Still love me, if I stay? Say that thou canst,
And I am the Duke's----",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S069,image_069,Samuel Taylor Coleridge,SONG,Love & Devotion,Romantic,"_Bethlen._ A sweeter voice!--A voice of love and pity!             225
Was it the softened echo of mine own?
Sad echo! but the hope it kill'd was sickly,
And ere it died it had been mourned as dead!
One other hope yet lives within my soul:
Quick let me ask!--while yet this stifling fear,                   230
This stop of the heart, leaves utterance!--Are--are these
The sole remains of her that gave me life?
Have I a mother?          [_ZAPOLYA rushes out to embrace him._
Ha!",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
S070,image_070,Sara Teasdale,Brown-thrush singing all day long,Love & Devotion,Romantic,"In the leaves above me,
Take my love this April song,
""Love me, love me, love me!""",https://www.gutenberg.org/ebooks/442,Public domain / CC0 dataset
